PID,Failure_Type,Failure_Source,User,Voice_Assistant,Context,Failure_freq,Survey,age,gender,Native_English,accent,adjust_speech,repeat_speech,race,device,device_write_in,Frequency
1,Response,Action execution: no action,"Voice Assistant, what is the temperature outside?","She lights up and nothing happens. Ask again, she will say I don't understand.",I use Voice Assistant to control the thermostat. Usually I am trying to ask her the weather.,Most of the time I use it,y,35-44,Woman,Yes,No,Every time I use it,Every time I use it,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
1,Attention,Missed Trigger,Voice Assistant turn off. ,She ignores and does nothing for several attemps.,"One of those stupid Buick ads comes on and activates Voice Assistant, every time. The ad makes the device start playing random music.",Most of the time I use it,,35-44,Woman,Yes,No,Every time I use it,Every time I use it,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
1,Attention,Missed Trigger,Voice Assistant set a timer for 10 minutes.,Voice Assistant didn't respond.,Asking Voice Assistant to get a timer.,Every time I use it,y,35-44,Woman,Yes,No,Every time I use it,Every time I use it,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
2,Attention,Spurious Trigger,"[While talking to coworker] ""Can you share your screen?""","[Responding to your conversation with your co-worker.] ""One moment, let me help you with that""",I was having a conference call with my team and i was calling my coworker Sherry. Siri mistakenly got turned on,,y,#N/A,,,,,,,,,
3,Understanding,No understanding,"Voice Assistant, wake up the twins.","""Sorry, I don't know that."" [However, the routine for ""wake up the twins"" has worked in the past.]",I was trying to run a routine to wake up my kids.,About half the time I use it,y,35-44,Man,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
3,Understanding,Misunderstanding,"Voice Assistant, announce dinner time.","Opening up the dinner time app, what are you in the mood for?",I was calling the kids down for dinner.,Sometimes when I use it,,35-44,Man,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
3,Understanding,Misunderstanding,"Voice Assistant, turn on the counter.","Okay, I turned on the camera on this device.",I asked the assistant to turn on the under counter lights.,Sometimes when I use it,y,35-44,Man,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
4,Perception,Transcription,"Voice Assistant, turn on the lamp.","""Sorry. I'm having trouble understanding you.""",I had a cold a few weeks ago and my normally reliable Echo Dot could not understand anything I said. Voice Assistant kept responding that she didn't understand,Rarely when I use it,,35-44,Woman,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
4,Understanding,No understanding,"Voice Assistant, how many bridges cross the Nile?",I don't know that.,My son as asking Voice Assistant questions about geography.,Rarely when I use it,y,35-44,Woman,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
5,Response,Action execution: incorrect,"Voice Assistant, set heat to 18.",It changed the heat but not to what I requested.,When trying to set the heat via my smart thermostat it took several attempts to get it right. I was alone in the kitchen with no background noise.,Rarely when I use it,Y,35-44,Man,Yes,Maybe,Sometimes,Sometimes,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
6,Understanding,No understanding,"Voice Assistant, play [a song].",I am not able to find this song.,I asked Voice Assistant assistant to play a song.,Sometimes when I use it,,25-34,Man,Yes,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
6,Understanding,No understanding,"Voice Assistant, order a pizza from Kelsey's.",The assistant said that it could not recognize the name of the restaurant.,I asked the assistant to order food from a particular restaurant.,Sometimes when I use it,,25-34,Man,Yes,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
7,Understanding,No understanding,"Voice Assistant, please reprogram my channels.",I don't have that.,I was trying to get it to reprogram the channels on my smart tv.,About half the time I use it,,55-64,Woman,Yes,No,About half the time I use it,About half the time I use it,White,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,2-3 times a week
